symbol,input_window,dataset,MAE_mean,MAE_std,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std
BTCUSDT,28,test,0.00049459917734448,0.0001635608558760074,6.042626750259671e-07,3.3464543206064814e-07,0.0007312671061778,0.00018457223743195534,14.31958954138831,5.287969388768117
BTCUSDT,28,train,0.00058502773554074,6.502229451879743e-05,9.672322284052774e-07,1.3465435082247924e-07,0.0009513923642490799,6.75281912779313e-05,10.395506888997918,1.4444566214618095
BTCUSDT,28,validation,0.0004979602854686,9.011811850242676e-05,6.411962303389276e-07,2.2351087817863438e-07,0.0007639100159745199,0.00013695830878697322,12.603363847486445,4.360920515330381
ETHUSDT,28,test,0.00057719233009694,9.531587029017024e-05,1.0008363265460485e-06,3.03904604596703e-07,0.0009595219011006601,0.0001494570390571648,10.828846192907438,2.1062749275797588
ETHUSDT,28,train,0.0006878025318140799,6.470300127656369e-05,1.3411696438611416e-06,1.9901804554798356e-07,0.0011175142584674601,8.60988383803184e-05,8.723318642134569,1.2526164937236044
ETHUSDT,28,validation,0.00057829589878548,9.670372804972364e-05,1.0075525445395328e-06,2.5914688352186167e-07,0.00096463990100482,0.00013348522631189536,9.89835329221697,1.811584454094015
BNBUSDT,7,test,0.0005546200873572,0.00023118045895644633,8.826787758492943e-07,5.452521685902931e-07,0.0008724995689284399,0.0002632498376452196,12.59224297285656,5.081183354657072
BNBUSDT,7,train,0.0007875714028217001,0.0001484905133783374,2.1366153368230777e-06,5.020173351996307e-07,0.0013885742076417001,0.00016585834995624002,9.191563502454247,0.7412290938871641
BNBUSDT,7,validation,0.00057824735610148,0.0001608857398222023,1.0562902295362567e-06,4.974244523852139e-07,0.00096557085965002,0.00022078695852057684,11.280813815839396,3.1230523969507495
XRPUSDT,28,test,0.0007905575383531001,0.0002555200920129272,2.0632155755113024e-06,7.791358716118225e-07,0.0013666986629243,0.00028123709548981857,13.173790838842105,5.519622854164137
XRPUSDT,28,train,0.0010078797755791,0.00024552692586022354,3.99622233619787e-06,1.1585858428490778e-06,0.0019116428285065798,0.00027579021423925344,10.158245435546483,2.4377012408516983
XRPUSDT,28,validation,0.0008071481920591001,0.00020710360775759193,2.3618858637951834e-06,8.230193862236013e-07,0.00146251677604668,0.00028220679316084854,11.587733856951461,2.7374371766460466
SOLUSDT,7,test,0.0007845884011077199,0.00013657570549746465,1.7679771706002514e-06,7.941142914130865e-07,0.00125142381950192,0.0002710002728802377,10.48172877386926,1.970968389548835
SOLUSDT,7,train,0.00117068526325594,0.00020043645626090408,4.53644257204332e-06,1.4018231265649368e-06,0.0020244245938227405,0.00030601346058958925,8.243238770643876,0.7873022704479932
SOLUSDT,7,validation,0.0008202939248165401,0.00010650767056614691,2.034340832515592e-06,6.427104970294157e-07,0.00135419104864574,0.00021534652169378148,9.072314749848413,0.7875731826321896
