symbol,input_window,kind,role,fold,datasets,path
BTCUSDT,28,real_vs_pred,best,5.0,"train,validation,test",notebooks/figs/real_vs_pred/BTCUSDT_w28_best_fold_real_vs_pred.png
BTCUSDT,28,real_vs_pred,median,3.0,"train,validation,test",notebooks/figs/real_vs_pred/BTCUSDT_w28_median_fold_real_vs_pred.png
BTCUSDT,28,real_vs_pred,worst,1.0,"train,validation,test",notebooks/figs/real_vs_pred/BTCUSDT_w28_worst_fold_real_vs_pred.png
BTCUSDT,28,rmse_by_horizon,,,test,notebooks/figs/BTCUSDT_w28_test_rmse_by_horizon.png
BTCUSDT,28,rmse_by_fold,,,test,notebooks/figs/BTCUSDT_w28_test_rmse_by_fold.png
BTCUSDT,28,window_comparison,,,test,notebooks/figs/BTCUSDT_test_rmse_window_comparison.png
ETHUSDT,28,real_vs_pred,best,2.0,"train,validation,test",notebooks/figs/real_vs_pred/ETHUSDT_w28_best_fold_real_vs_pred.png
ETHUSDT,28,real_vs_pred,median,3.0,"train,validation,test",notebooks/figs/real_vs_pred/ETHUSDT_w28_median_fold_real_vs_pred.png
ETHUSDT,28,real_vs_pred,worst,1.0,"train,validation,test",notebooks/figs/real_vs_pred/ETHUSDT_w28_worst_fold_real_vs_pred.png
ETHUSDT,28,rmse_by_horizon,,,test,notebooks/figs/ETHUSDT_w28_test_rmse_by_horizon.png
ETHUSDT,28,rmse_by_fold,,,test,notebooks/figs/ETHUSDT_w28_test_rmse_by_fold.png
ETHUSDT,28,window_comparison,,,test,notebooks/figs/ETHUSDT_test_rmse_window_comparison.png
BNBUSDT,7,real_vs_pred,best,5.0,"train,validation,test",notebooks/figs/real_vs_pred/BNBUSDT_w7_best_fold_real_vs_pred.png
BNBUSDT,7,real_vs_pred,median,3.0,"train,validation,test",notebooks/figs/real_vs_pred/BNBUSDT_w7_median_fold_real_vs_pred.png
BNBUSDT,7,real_vs_pred,worst,1.0,"train,validation,test",notebooks/figs/real_vs_pred/BNBUSDT_w7_worst_fold_real_vs_pred.png
BNBUSDT,7,rmse_by_horizon,,,test,notebooks/figs/BNBUSDT_w7_test_rmse_by_horizon.png
BNBUSDT,7,rmse_by_fold,,,test,notebooks/figs/BNBUSDT_w7_test_rmse_by_fold.png
BNBUSDT,7,window_comparison,,,test,notebooks/figs/BNBUSDT_test_rmse_window_comparison.png
XRPUSDT,28,real_vs_pred,best,5.0,"train,validation,test",notebooks/figs/real_vs_pred/XRPUSDT_w28_best_fold_real_vs_pred.png
XRPUSDT,28,real_vs_pred,median,3.0,"train,validation,test",notebooks/figs/real_vs_pred/XRPUSDT_w28_median_fold_real_vs_pred.png
XRPUSDT,28,real_vs_pred,worst,2.0,"train,validation,test",notebooks/figs/real_vs_pred/XRPUSDT_w28_worst_fold_real_vs_pred.png
XRPUSDT,28,rmse_by_horizon,,,test,notebooks/figs/XRPUSDT_w28_test_rmse_by_horizon.png
XRPUSDT,28,rmse_by_fold,,,test,notebooks/figs/XRPUSDT_w28_test_rmse_by_fold.png
XRPUSDT,28,window_comparison,,,test,notebooks/figs/XRPUSDT_test_rmse_window_comparison.png
SOLUSDT,7,real_vs_pred,best,5.0,"train,validation,test",notebooks/figs/real_vs_pred/SOLUSDT_w7_best_fold_real_vs_pred.png
SOLUSDT,7,real_vs_pred,median,4.0,"train,validation,test",notebooks/figs/real_vs_pred/SOLUSDT_w7_median_fold_real_vs_pred.png
SOLUSDT,7,real_vs_pred,worst,1.0,"train,validation,test",notebooks/figs/real_vs_pred/SOLUSDT_w7_worst_fold_real_vs_pred.png
SOLUSDT,7,rmse_by_horizon,,,test,notebooks/figs/SOLUSDT_w7_test_rmse_by_horizon.png
SOLUSDT,7,rmse_by_fold,,,test,notebooks/figs/SOLUSDT_w7_test_rmse_by_fold.png
SOLUSDT,7,window_comparison,,,test,notebooks/figs/SOLUSDT_test_rmse_window_comparison.png
