symbol,input_window,horizon,RMSE_mean,RMSE_std
BTCUSDT,28,1,0.00039150131423788,9.079652694974732e-05
BTCUSDT,28,2,0.00055411256313112,0.0001601136803905023
BTCUSDT,28,3,0.0006546910194746199,0.0001453654631705676
BTCUSDT,28,4,0.0007531357668438199,0.00017765919657198646
BTCUSDT,28,5,0.0008344533701000001,0.00019511589399946473
BTCUSDT,28,6,0.0009278873484272799,0.0002505973291888493
BTCUSDT,28,7,0.00100308836102996,0.0002744595776104116
ETHUSDT,28,1,0.0005373167132652999,0.00011965646484308153
ETHUSDT,28,2,0.00071878195689548,0.00012575046650961606
ETHUSDT,28,3,0.00087176347455582,0.00013047463502587666
ETHUSDT,28,4,0.00099823044179872,0.00015257149721345473
ETHUSDT,28,5,0.00110890645628426,0.00015462580461258593
ETHUSDT,28,6,0.00119468333845302,0.00017789526255139438
ETHUSDT,28,7,0.0012869709264518002,0.00019376295296162494
BNBUSDT,7,1,0.00046062058926457997,0.00015918753594080517
BNBUSDT,7,2,0.000640674859159,0.00023395841603310278
BNBUSDT,7,3,0.00079269819628982,0.0002866878568732899
BNBUSDT,7,4,0.0008709481929301,0.00022189862795945524
BNBUSDT,7,5,0.00098566283778158,0.0002468407769473401
BNBUSDT,7,6,0.0011254270785303199,0.00032935943947015893
BNBUSDT,7,7,0.0012314652285435198,0.00037053909279505986
XRPUSDT,28,1,0.00073929955349628,0.00016166577401408621
XRPUSDT,28,2,0.0010598076338689398,0.0002648661287089569
XRPUSDT,28,3,0.00123025249232636,0.0002630060642035908
XRPUSDT,28,4,0.0014562833863550598,0.00030636888422498425
XRPUSDT,28,5,0.0015609800161717402,0.0003197360615264407
XRPUSDT,28,6,0.0016799890013975201,0.000333126467539201
XRPUSDT,28,7,0.00184027855685432,0.0003788155354934109
SOLUSDT,7,1,0.0006541264685356199,0.0001570342881517463
SOLUSDT,7,2,0.00088289182872468,0.00017561249742619416
SOLUSDT,7,3,0.00109867463798148,0.00022935046453823166
SOLUSDT,7,4,0.00128405172340054,0.00026649728598520197
SOLUSDT,7,5,0.00144655770827958,0.0003077542641072242
SOLUSDT,7,6,0.0016318803592383798,0.00036675300452558037
SOLUSDT,7,7,0.0017617840103531402,0.00039759660896373367
