symbol,input_window,fold,MAE_mean,MSE_mean,RMSE_mean,MAPE_mean,R2_mean
BTCUSDT,28,1,0.0004787782951652125,8.859282336923164e-07,0.0008978015656677883,10.130386320357031,0.909448107584016
BTCUSDT,28,2,0.0003657379605908787,6.050678774481544e-07,0.0007407254701013277,10.916804775096136,0.8479822381516335
BTCUSDT,28,3,0.00044688429004682395,6.183855435452247e-07,0.000745687135387243,9.675401325855228,0.8870366475477541
BTCUSDT,28,4,0.00035527517352751446,4.400746624734038e-07,0.0006298054767910814,9.341383733518041,0.9060031511128435
BTCUSDT,28,5,0.00036660552329776834,4.664571897446373e-07,0.0006488747875099798,9.958863490477219,0.8868753016476018
ETHUSDT,28,1,0.0005930883868070957,1.272271891618105e-06,0.0010779240979388934,9.103462957197609,0.9248732977869449
ETHUSDT,28,2,0.0003791921063889076,6.865249881925754e-07,0.0007895036974763353,9.879805407778845,0.8460254157714479
ETHUSDT,28,3,0.000533119306766511,1.0495376570150158e-06,0.0009739656924504002,9.084355585429545,0.8806735594067884
ETHUSDT,28,4,0.000584519359913272,1.3529036003513507e-06,0.0011100071601273201,8.777082376014631,0.874191872392532
ETHUSDT,28,5,0.0005114621422013537,9.65855097877187e-07,0.0009351909832974551,10.12396245754814,0.8727841288138747
BNBUSDT,7,1,0.0005064281160670332,1.1740692834749616e-06,0.0010333284359322554,8.66094275453089,0.9096024633665383
BNBUSDT,7,2,0.0003829141560448112,8.121965810110974e-07,0.0008594853485815273,9.18603423199931,0.8856530740176342
BNBUSDT,7,3,0.0004738624219471242,7.862325489984841e-07,0.0008409269540881221,8.266220073170393,0.9212432214836382
BNBUSDT,7,4,0.0004006238371537919,6.348226924892203e-07,0.0007563324106666851,8.11782469261413,0.9247439148814015
BNBUSDT,7,5,0.00033577192597436035,3.733645184713769e-07,0.0005808442413538434,8.412149771411181,0.903937800804992
XRPUSDT,28,1,0.000578686978165614,1.2068719653153136e-06,0.001046653441342815,8.326334293260269,0.9128432602491682
XRPUSDT,28,2,0.0005699790898407912,3.604029442034051e-06,0.0018035082515833454,9.38371224844821,0.8374667777453965
XRPUSDT,28,3,0.0006860685848125846,2.5748227211671256e-06,0.001522120830265802,9.06778312526069,0.9286837007527583
XRPUSDT,28,4,0.0006600015981403114,2.04319555290383e-06,0.0013553814285921996,8.577029967284437,0.9077173345208538
XRPUSDT,28,5,0.0005040047561555288,9.299459782152895e-07,0.0009126636143277264,9.208889831190138,0.9119709209857235
SOLUSDT,7,1,0.0008549940343794782,2.825872457014771e-06,0.0016009881500489431,8.479779167608786,0.9286172179569231
SOLUSDT,7,2,0.000673672199300652,1.751797302392493e-06,0.0012638411138887519,7.996620060690753,0.9089486216325833
SOLUSDT,7,3,0.0006560957936361602,1.4379947824539662e-06,0.0011405560230334354,7.839130153721958,0.9109131885083163
SOLUSDT,7,4,0.0006446334547266795,1.469005256185916e-06,0.0011531060539575408,7.865829201927787,0.9059360159655571
SOLUSDT,7,5,0.0005153070232966566,8.65683425992317e-07,0.0008841211261520403,8.843423027944466,0.8900953865947241
