symbol,input_window,role,fold,RMSE_mean
BTCUSDT,28,best,5,0.0006006338593336
BTCUSDT,28,median,3,0.0006988591457965
BTCUSDT,28,worst,1,0.0010492847425877
ETHUSDT,28,best,2,0.0007907179330191
ETHUSDT,28,median,3,0.0009156439639185
ETHUSDT,28,worst,1,0.0011495931435539
BNBUSDT,7,best,5,0.0005871436220631
BNBUSDT,7,median,3,0.0008535247972517
BNBUSDT,7,worst,1,0.0012978892537613
XRPUSDT,28,best,5,0.0009398580847928
XRPUSDT,28,median,3,0.0014660343919569
XRPUSDT,28,worst,2,0.0016785627711005
SOLUSDT,7,best,5,0.0009476400489051
SOLUSDT,7,median,4,0.0012041507929606
SOLUSDT,7,worst,1,0.0016813656921596
