symbol,input_window,fold,n_train,n_val,n_test,X_train_shape,y_train_shape,pred_test_shape,n_outputs,scaler_X_fit_rows,scaler_y_fit_rows,scalers_train_only,n_iter,loss,convergence_warning,convergence_messages,other_warnings,bds_statistic,bds_pvalue,bds_status,bds_warnings,bds_calendar_gaps,elapsed_seconds
BTCUSDT,7,1,7582,7569,7568,"(7582, 7)","(7582, 7)","(7568, 7)",7,7582,7582,True,79,0.03454701030719416,False,,,2.430507158896284,0.015077708188598937,ok,,1,7.082469700137153
BTCUSDT,7,2,15164,7568,7568,"(15164, 7)","(15164, 7)","(7568, 7)",7,15164,15164,True,42,0.040125844005039525,False,,,0.7788222742997931,0.43608441470870896,ok,,0,8.788912300020456
BTCUSDT,7,3,22745,7568,7568,"(22745, 7)","(22745, 7)","(7568, 7)",7,22745,22745,True,34,0.03902751791511638,False,,,3.2478157356550152,0.0011629455689102447,ok,,0,10.067116599995643
BTCUSDT,7,4,30326,7568,7568,"(30326, 7)","(30326, 7)","(7568, 7)",7,30326,30326,True,25,0.03745865117448123,False,,,1.309957526823009,0.19021020439083547,ok,,0,13.896822799928486
BTCUSDT,7,5,37907,7568,7568,"(37907, 7)","(37907, 7)","(7568, 7)",7,37907,37907,True,38,0.038329416129398906,False,,,0.36707408195994473,0.7135637594808428,ok,,0,21.679609700106084
BTCUSDT,14,1,7571,7551,7550,"(7571, 14)","(7571, 7)","(7550, 7)",7,7571,7571,True,98,0.03371516999209087,False,,,2.7310526056213074,0.006313239354726528,ok,,1,15.232480100123212
BTCUSDT,14,2,15142,7550,7550,"(15142, 14)","(15142, 7)","(7550, 7)",7,15142,15142,True,37,0.040558922647607625,False,,,0.8262104242179026,0.40868473596382837,ok,,0,8.53314150008373
BTCUSDT,14,3,22712,7550,7550,"(22712, 14)","(22712, 7)","(7550, 7)",7,22712,22712,True,36,0.038989491301231013,False,,,2.5347788526450037,0.011251833392256778,ok,,0,16.37366609997116
BTCUSDT,14,4,30282,7550,7550,"(30282, 14)","(30282, 7)","(7550, 7)",7,30282,30282,True,43,0.036988488588292366,False,,,1.5709562922336506,0.11619280157825217,ok,,0,20.025040700100362
BTCUSDT,14,5,37852,7550,7550,"(37852, 14)","(37852, 7)","(7550, 7)",7,37852,37852,True,38,0.03809381883793707,False,,,0.5136792869823358,0.6074762357896177,ok,,0,20.187047899933532
