symbol,input_window,fold,dataset,MAE_mean,MSE_mean,RMSE_mean,MAPE_mean,bds_statistic,bds_pvalue
BTCUSDT,7,1,train,0.0006512761276679022,1.2674565549070339e-06,0.0010813672999686864,10.220151523323429,,
BTCUSDT,7,1,validation,0.0005713336646381153,9.098422712718897e-07,0.000912082065879701,9.740956457050926,,
BTCUSDT,7,1,test,0.0006415981826121736,1.0011308171966312e-06,0.0009636208720826205,18.370421172479602,2.430507158896284,0.015077708188598937
BTCUSDT,7,2,train,0.0005789060780985635,1.0766166082303528e-06,0.000991617240505932,8.54806329266616,,
BTCUSDT,7,2,validation,0.0005249633270135304,8.744695525062963e-07,0.0008944081661981358,12.856701793286387,,
BTCUSDT,7,2,test,0.000432920582987426,6.031583360963284e-07,0.0007420355643901875,15.909024350662479,0.7788222742997931,0.43608441470870896
BTCUSDT,7,3,train,0.0006305428272972223,1.0596859153473244e-06,0.0009939469306876902,12.049533407783471,,
BTCUSDT,7,3,validation,0.0005729474741809195,6.949754981974298e-07,0.0008165962917925487,22.900929593220894,,
BTCUSDT,7,3,test,0.000527502201577471,6.081660244906536e-07,0.000755556485513502,13.023230666822855,3.2478157356550152,0.0011629455689102447
BTCUSDT,7,4,train,0.0005667830906077488,9.626666313129383e-07,0.0009390188977399505,11.523197712496332,,
BTCUSDT,7,4,validation,0.00046375644227266864,5.704747468766755e-07,0.0007207234740005266,10.21718402420482,,
BTCUSDT,7,4,test,0.0004027306541538551,4.3597097350228634e-07,0.0006292315531320115,11.747823682083048,1.309957526823009,0.19021020439083547
BTCUSDT,7,5,train,0.0005038669129091335,8.269617474754455e-07,0.0008689388498983377,10.153025209045454,,
BTCUSDT,7,5,validation,0.0003705767126744472,4.163520554898877e-07,0.0006142365956592931,10.298841424364264,,
BTCUSDT,7,5,test,0.000383455202646022,4.369999046879081e-07,0.0006296426740664266,10.961223483422993,0.36707408195994473,0.7135637594808428
BTCUSDT,14,1,train,0.0006502191507758785,1.2163725149938747e-06,0.0010632726132571786,10.279818729078185,,
BTCUSDT,14,1,validation,0.0005746679751006453,9.219399353369166e-07,0.0009214441084629702,9.648468045761565,,
BTCUSDT,14,1,test,0.0006616373312483314,1.0258343133811937e-06,0.0009786899242725806,19.246663836707548,2.7310526056213074,0.006313239354726528
BTCUSDT,14,2,train,0.000584720343742914,1.0688810741811704e-06,0.0009910571862607066,8.572044061882893,,
BTCUSDT,14,2,validation,0.0005242865491838936,8.641734486565778e-07,0.0008910624131625655,12.356857532129853,,
BTCUSDT,14,2,test,0.0004250570822320974,5.892639273324584e-07,0.0007349751445563116,14.735960260438139,0.8262104242179026,0.40868473596382837
BTCUSDT,14,3,train,0.0006249053881556025,1.062698785286517e-06,0.000995796882413316,11.381244031522527,,
BTCUSDT,14,3,validation,0.0005257832458549287,6.37147833156092e-07,0.0007755414183730806,19.916310634500597,,
BTCUSDT,14,3,test,0.0004980555613982747,5.735425368115945e-07,0.0007306832374383529,11.831375164123983,2.5347788526450037,0.011251833392256778
BTCUSDT,14,4,train,0.0005746817116063584,9.762304319531692e-07,0.0009486767828203109,11.374349569867118,,
BTCUSDT,14,4,validation,0.0004612988698097044,5.575919581602014e-07,0.0007148045605534193,10.01986609971207,,
BTCUSDT,14,4,test,0.0003984356447099202,4.2375230795405733e-07,0.0006217477665378849,11.345525913699644,1.5709562922336506,0.11619280157825217
BTCUSDT,14,5,train,0.0005142440502115569,8.318462209002032e-07,0.0008729029908810826,10.170855959030451,,
BTCUSDT,14,5,validation,0.0003690098154850832,4.006129820684148e-07,0.0006045913617930629,10.05683026681301,,
