symbol,input_window,fold,dataset,horizon,MAE,MSE,RMSE,MAPE
BTCUSDT,7,1,train,1,0.0002964459044413465,3.2329328106451805e-07,0.0005685888506333184,5.314778989644902
BTCUSDT,7,1,train,2,0.0004157610789564708,6.235554479038645e-07,0.0007896552715608657,6.341716527596263
BTCUSDT,7,1,train,3,0.0005760247128249857,9.657834869602846e-07,0.0009827428386715849,9.11974398705223
BTCUSDT,7,1,train,4,0.000663845403665583,1.2722363993768842e-06,0.0011279345722943705,9.952779434151404
BTCUSDT,7,1,train,5,0.0008096371593112055,1.6592917270177075e-06,0.001288134980123476,12.69750569716763
BTCUSDT,7,1,train,6,0.0009017905097044176,1.9988646223759147e-06,0.0014138120887783902,13.843295525391428
BTCUSDT,7,1,train,7,0.0009733642470824732,2.3351087087655663e-06,0.001528106249174306,14.271240502260552
BTCUSDT,7,1,validation,1,0.00023496358133221512,2.010989576930414e-07,0.00044844058435097216,4.182422176082525
BTCUSDT,7,1,validation,2,0.00034610054904320213,4.2169599622753465e-07,0.0006493812410499202,5.713751062701894
BTCUSDT,7,1,validation,3,0.0005042664096942621,6.933448576625379e-07,0.000832673319893545,8.54750713956177
BTCUSDT,7,1,validation,4,0.0005781590261973899,9.15951966253814e-07,0.0009570537948588961,9.511351780365075
BTCUSDT,7,1,validation,5,0.000718168143911193,1.201281487587446e-06,0.0010960298753170217,12.169897229360553
BTCUSDT,7,1,validation,6,0.0008066783645973798,1.4554421876001227e-06,0.0012064170869148542,13.55994919904516
BTCUSDT,7,1,validation,7,0.0008793692422252735,1.699697545840948e-06,0.0013037244900058248,14.501816612239882
BTCUSDT,7,1,test,1,0.0003456380227103847,2.977711878601894e-07,0.0005456841466088138,12.28546041693815
BTCUSDT,7,1,test,2,0.0004025961993370431,4.7662279700818003e-07,0.0006903787344698416,12.431490553072257
BTCUSDT,7,1,test,3,0.0005754859843520328,7.779644526028189e-07,0.0008820229320164068,16.480672829175198
BTCUSDT,7,1,test,4,0.000625313221120624,9.60091064453849e-07,0.0009798423671457817,16.981729554036136
BTCUSDT,7,1,test,5,0.0008118202954951307,1.336899959464817e-06,0.0011562439013741075,22.606219054630238
BTCUSDT,7,1,test,6,0.000885148762943341,1.5937507763376403e-06,0.0012624384247707451,24.168962345020017
BTCUSDT,7,1,test,7,0.0009219627860383839,1.8064677488688424e-06,0.0013440490128223904,23.638413454486123
BTCUSDT,7,2,train,1,0.0002379141002872792,2.4468876532166894e-07,0.0004946602524174233,3.5507485946243498
BTCUSDT,7,2,train,2,0.0003605876403845827,5.029673534880058e-07,0.0007092019130600296,5.305936335915947
BTCUSDT,7,2,train,3,0.0004922602483691271,7.905806228409748e-07,0.0008891460076055984,7.242254635439316
