symbol,input_window,fold,R2_mean
BTCUSDT,7,1,0.8960433982806144
BTCUSDT,7,2,0.8489599245128379
BTCUSDT,7,3,0.8878838790067698
BTCUSDT,7,4,0.9072016158275774
BTCUSDT,7,5,0.893374781584571
BTCUSDT,14,1,0.8941878955367007
BTCUSDT,14,2,0.8520672924741349
BTCUSDT,14,3,0.8944454256932118
BTCUSDT,14,4,0.9097520563225842
BTCUSDT,14,5,0.8952855299993522
BTCUSDT,21,1,0.8885045478044968
BTCUSDT,21,2,0.857941248293514
BTCUSDT,21,3,0.8978340817511654
BTCUSDT,21,4,0.9142332913336695
BTCUSDT,21,5,0.8970127004834503
BTCUSDT,28,1,0.8823981022787465
BTCUSDT,28,2,0.8710300686580376
BTCUSDT,28,3,0.9079676638873456
BTCUSDT,28,4,0.9195256928712077
BTCUSDT,28,5,0.9087799899615561
ETHUSDT,7,1,0.91921366584264
ETHUSDT,7,2,0.8425454178120801
ETHUSDT,7,3,0.8836420962494322
ETHUSDT,7,4,0.8758130187987148
ETHUSDT,7,5,0.8796868630112034
ETHUSDT,14,1,0.9098374507219891
ETHUSDT,14,2,0.8464900285587179
ETHUSDT,14,3,0.8890357868261418
ETHUSDT,14,4,0.8751642137044546
ETHUSDT,14,5,0.8790497208983502
ETHUSDT,21,1,0.9128662127357092
ETHUSDT,21,2,0.8485507242844582
ETHUSDT,21,3,0.8936633089217763
ETHUSDT,21,4,0.8761079517071345
ETHUSDT,21,5,0.8846335436408828
ETHUSDT,28,1,0.9205975046316354
ETHUSDT,28,2,0.8551571362109199
ETHUSDT,28,3,0.9010174959963255
ETHUSDT,28,4,0.8884687245032399
ETHUSDT,28,5,0.8976696933128661
BNBUSDT,7,1,0.8655727703939886
BNBUSDT,7,2,0.8886406006927131
BNBUSDT,7,3,0.923340186274438
BNBUSDT,7,4,0.929036848568239
BNBUSDT,7,5,0.9059644540730728
BNBUSDT,14,1,0.7903281830153386
BNBUSDT,14,2,0.8912965686838203
BNBUSDT,14,3,0.925960593225124
BNBUSDT,14,4,0.9296015761463047
BNBUSDT,14,5,0.908897921423323
BNBUSDT,21,1,0.8209721991339486
BNBUSDT,21,2,0.8930828792441826
BNBUSDT,21,3,0.9250750857520452
BNBUSDT,21,4,0.929491095495658
BNBUSDT,21,5,0.9081367419918341
BNBUSDT,28,1,0.809801222527449
BNBUSDT,28,2,0.8969601349384803
BNBUSDT,28,3,0.9300585569680228
BNBUSDT,28,4,0.9356307733074531
BNBUSDT,28,5,0.9142432992924646
XRPUSDT,7,1,0.8762357560304418
XRPUSDT,7,2,0.8475896227895142
XRPUSDT,7,3,0.9301857382224269
XRPUSDT,7,4,0.9122985589524459
XRPUSDT,7,5,0.9105851238557326
XRPUSDT,14,1,0.859103603023488
XRPUSDT,14,2,0.848992115318055
XRPUSDT,14,3,0.9289679414569552
XRPUSDT,14,4,0.9119344099691479
XRPUSDT,14,5,0.911751842580238
XRPUSDT,21,1,0.8399023024284339
XRPUSDT,21,2,0.8568417530979051
XRPUSDT,21,3,0.9310925454345738
XRPUSDT,21,4,0.9168654464689362
XRPUSDT,21,5,0.9151103981869738
XRPUSDT,28,1,0.8377177482669139
XRPUSDT,28,2,0.868023995355873
XRPUSDT,28,3,0.9381921861489373
XRPUSDT,28,4,0.9254269373294888
XRPUSDT,28,5,0.9132692904314804
SOLUSDT,7,1,0.9247535765621187
SOLUSDT,7,2,0.910010738335621
SOLUSDT,7,3,0.9153947631604754
SOLUSDT,7,4,0.9019258571596299
SOLUSDT,7,5,0.8809467242685602
SOLUSDT,14,1,0.9122056812989727
SOLUSDT,14,2,0.9111956090254445
SOLUSDT,14,3,0.9179667191524766
SOLUSDT,14,4,0.9066402915783182
SOLUSDT,14,5,0.8830798962934584
SOLUSDT,21,1,0.8930152255373022
SOLUSDT,21,2,0.9100477704224292
SOLUSDT,21,3,0.9195643390877627
SOLUSDT,21,4,0.9049229651920884
SOLUSDT,21,5,0.890738249319523
SOLUSDT,28,1,0.8880542359394127
SOLUSDT,28,2,0.9149084276067183
SOLUSDT,28,3,0.9214858748627164
SOLUSDT,28,4,0.9115049188801556
SOLUSDT,28,5,0.8926417665543996
