symbol,input_window,fold,horizon,R2
BTCUSDT,7,1,1,0.970103196116964
BTCUSDT,7,1,2,0.9521493473311248
BTCUSDT,7,1,3,0.9219015482326312
BTCUSDT,7,1,4,0.903624276850953
BTCUSDT,7,1,5,0.8658071731594705
BTCUSDT,7,1,6,0.8400310513534645
BTCUSDT,7,1,7,0.8186871949196929
BTCUSDT,7,2,1,0.966316560621468
BTCUSDT,7,2,2,0.9341340371621265
BTCUSDT,7,2,3,0.8921276967876631
BTCUSDT,7,2,4,0.8548853138696894
BTCUSDT,7,2,5,0.8082901707115544
BTCUSDT,7,2,6,0.7668931016491973
BTCUSDT,7,2,7,0.7200725907881671
BTCUSDT,7,3,1,0.9652090205594738
BTCUSDT,7,3,2,0.9409219405292195
BTCUSDT,7,3,3,0.9106962300425895
BTCUSDT,7,3,4,0.8923443211822177
BTCUSDT,7,3,5,0.8648453861922418
BTCUSDT,7,3,6,0.8324650510858652
BTCUSDT,7,3,7,0.808705203455781
BTCUSDT,7,4,1,0.9806560079854273
BTCUSDT,7,4,2,0.9595515041631216
BTCUSDT,7,4,3,0.9366594171280139
BTCUSDT,7,4,4,0.9100300298021569
BTCUSDT,7,4,5,0.8844203982015384
BTCUSDT,7,4,6,0.8537913843495911
BTCUSDT,7,4,7,0.8253025691631917
BTCUSDT,7,5,1,0.9789910752158768
BTCUSDT,7,5,2,0.9539599413942783
BTCUSDT,7,5,3,0.9262772278967737
BTCUSDT,7,5,4,0.8951524113633953
BTCUSDT,7,5,5,0.8630832652044854
BTCUSDT,7,5,6,0.8337430817734075
BTCUSDT,7,5,7,0.8024164682437801
BTCUSDT,14,1,1,0.9691882423954672
BTCUSDT,14,1,2,0.9447082295260125
BTCUSDT,14,1,3,0.9233370993710924
BTCUSDT,14,1,4,0.8920605828491346
BTCUSDT,14,1,5,0.8694170482894384
BTCUSDT,14,1,6,0.8471076438946787
BTCUSDT,14,1,7,0.8134964224310807
BTCUSDT,14,2,1,0.9667599856961011
BTCUSDT,14,2,2,0.9312639018640605
BTCUSDT,14,2,3,0.8953684820811513
BTCUSDT,14,2,4,0.8535773087781465
BTCUSDT,14,2,5,0.8126033416974741
BTCUSDT,14,2,6,0.7733748950629125
BTCUSDT,14,2,7,0.7315231321390987
BTCUSDT,14,3,1,0.9696215225601118
BTCUSDT,14,3,2,0.9501921829656924
BTCUSDT,14,3,3,0.918450142984431
BTCUSDT,14,3,4,0.895231586799568
BTCUSDT,14,3,5,0.8687509136730835
BTCUSDT,14,3,6,0.8429946597104017
BTCUSDT,14,3,7,0.8158769711591948
BTCUSDT,14,4,1,0.9802837299512858
BTCUSDT,14,4,2,0.9601026363558414
BTCUSDT,14,4,3,0.9361046653705805
BTCUSDT,14,4,4,0.9125348366045065
BTCUSDT,14,4,5,0.8876305135601827
BTCUSDT,14,4,6,0.8591694448203815
BTCUSDT,14,4,7,0.8324385675953105
BTCUSDT,14,5,1,0.9781376958450905
BTCUSDT,14,5,2,0.9532285704269571
BTCUSDT,14,5,3,0.9265169444469655
BTCUSDT,14,5,4,0.8958845353436236
BTCUSDT,14,5,5,0.8681204049278411
BTCUSDT,14,5,6,0.837120728249527
BTCUSDT,14,5,7,0.8079898307554613
BTCUSDT,21,1,1,0.9661759618246201
BTCUSDT,21,1,2,0.942784294528975
BTCUSDT,21,1,3,0.9133175630764095
BTCUSDT,21,1,4,0.8892974871145439
BTCUSDT,21,1,5,0.8637171283560694
BTCUSDT,21,1,6,0.8418700757631606
BTCUSDT,21,1,7,0.8023693239676996
BTCUSDT,21,2,1,0.9661522828828428
BTCUSDT,21,2,2,0.933086504880537
BTCUSDT,21,2,3,0.8969187166263001
BTCUSDT,21,2,4,0.8595673554030673
BTCUSDT,21,2,5,0.81699102182555
BTCUSDT,21,2,6,0.7877221979884474
BTCUSDT,21,2,7,0.7451506584478544
BTCUSDT,21,3,1,0.9712617254595276
BTCUSDT,21,3,2,0.9446958942780629
BTCUSDT,21,3,3,0.9208901324673652
BTCUSDT,21,3,4,0.8985455519902918
BTCUSDT,21,3,5,0.8747752986414277
BTCUSDT,21,3,6,0.8489159495630968
BTCUSDT,21,3,7,0.8257540198583855
BTCUSDT,21,4,1,0.9789962850155793
BTCUSDT,21,4,2,0.9567004343096435
BTCUSDT,21,4,3,0.9372905710551404
BTCUSDT,21,4,4,0.9163491107149327
BTCUSDT,21,4,5,0.8937524017228342
BTCUSDT,21,4,6,0.868867863577542
BTCUSDT,21,4,7,0.8476763729400143
BTCUSDT,21,5,1,0.9770577596949376
BTCUSDT,21,5,2,0.9525185133227222
BTCUSDT,21,5,3,0.9249128854973316
BTCUSDT,21,5,4,0.8975473908163427
BTCUSDT,21,5,5,0.8692672932285433
BTCUSDT,21,5,6,0.8427537807517325
BTCUSDT,21,5,7,0.8150312800725427
BTCUSDT,28,1,1,0.9708049455860969
BTCUSDT,28,1,2,0.9315559027076312
BTCUSDT,28,1,3,0.9201473465154283
BTCUSDT,28,1,4,0.8896607471074535
BTCUSDT,28,1,5,0.8648112768752224
BTCUSDT,28,1,6,0.8165104021647637
BTCUSDT,28,1,7,0.7832960949946286
BTCUSDT,28,2,1,0.9653948434968512
BTCUSDT,28,2,2,0.9347385645177521
BTCUSDT,28,2,3,0.8969619334233465
BTCUSDT,28,2,4,0.8689363887523205
BTCUSDT,28,2,5,0.8392523367676469
BTCUSDT,28,2,6,0.8140914662871251
BTCUSDT,28,2,7,0.7778349473612214
BTCUSDT,28,3,1,0.9730790222121296
BTCUSDT,28,3,2,0.9510287607566594
BTCUSDT,28,3,3,0.9288185827522965
BTCUSDT,28,3,4,0.907277059515582
BTCUSDT,28,3,5,0.8882638329208538
BTCUSDT,28,3,6,0.8618224586831918
BTCUSDT,28,3,7,0.8454839303707062
BTCUSDT,28,4,1,0.9768232924848974
BTCUSDT,28,4,2,0.9577055891331548
BTCUSDT,28,4,3,0.939420031765902
BTCUSDT,28,4,4,0.9187601988382175
BTCUSDT,28,4,5,0.8995846456071975
BTCUSDT,28,4,6,0.8826898632509502
BTCUSDT,28,4,7,0.861696229018134
BTCUSDT,28,5,1,0.9773172226736013
BTCUSDT,28,5,2,0.9544504442935626
BTCUSDT,28,5,3,0.9299475707061136
BTCUSDT,28,5,4,0.9091599987448631
BTCUSDT,28,5,5,0.8863860415509953
BTCUSDT,28,5,6,0.8633913946062606
BTCUSDT,28,5,7,0.8408072571554962
ETHUSDT,7,1,1,0.9799693971682216
ETHUSDT,7,1,2,0.9615462832414231
ETHUSDT,7,1,3,0.9402183209837283
ETHUSDT,7,1,4,0.9207186503095733
ETHUSDT,7,1,5,0.8992414222358197
ETHUSDT,7,1,6,0.8776493131519496
ETHUSDT,7,1,7,0.8551522738077646
ETHUSDT,7,2,1,0.9619255013038903
ETHUSDT,7,2,2,0.9080574431076447
ETHUSDT,7,2,3,0.8846064507743399
ETHUSDT,7,2,4,0.8487028867805746
ETHUSDT,7,2,5,0.8083165588070398
ETHUSDT,7,2,6,0.7648135415723418
ETHUSDT,7,2,7,0.7213955423387299
ETHUSDT,7,3,1,0.9753661893422757
ETHUSDT,7,3,2,0.9454796281179185
ETHUSDT,7,3,3,0.915592439122711
ETHUSDT,7,3,4,0.884746082845527
ETHUSDT,7,3,5,0.8537241409224343
ETHUSDT,7,3,6,0.8228425288732306
ETHUSDT,7,3,7,0.7877436645219272
ETHUSDT,7,4,1,0.9684637572543328
ETHUSDT,7,4,2,0.9420810819896189
ETHUSDT,7,4,3,0.9067804231565294
ETHUSDT,7,4,4,0.8763586003284725
ETHUSDT,7,4,5,0.8449977368042556
ETHUSDT,7,4,6,0.8134549071575604
ETHUSDT,7,4,7,0.7785546249002335
ETHUSDT,7,5,1,0.9746821420544165
ETHUSDT,7,5,2,0.9460820944712874
ETHUSDT,7,5,3,0.9157338354129125
ETHUSDT,7,5,4,0.8830575924503045
ETHUSDT,7,5,5,0.8477704887163003
ETHUSDT,7,5,6,0.8150926424802338
ETHUSDT,7,5,7,0.775389245492969
ETHUSDT,14,1,1,0.9663402344265233
ETHUSDT,14,1,2,0.9549057819449024
ETHUSDT,14,1,3,0.9313436486631907
ETHUSDT,14,1,4,0.9104920064550803
ETHUSDT,14,1,5,0.8858588758582675
ETHUSDT,14,1,6,0.8685873466031709
ETHUSDT,14,1,7,0.8513342611027888
ETHUSDT,14,2,1,0.958637928438471
ETHUSDT,14,2,2,0.9208502163785067
ETHUSDT,14,2,3,0.882702435320353
ETHUSDT,14,2,4,0.8491909177318486
ETHUSDT,14,2,5,0.8117211209774375
ETHUSDT,14,2,6,0.7724428112483763
ETHUSDT,14,2,7,0.7298847698160313
ETHUSDT,14,3,1,0.9768809645741419
ETHUSDT,14,3,2,0.948566352964373
ETHUSDT,14,3,3,0.9191910151220268
ETHUSDT,14,3,4,0.8901844518035487
ETHUSDT,14,3,5,0.8615162788882709
ETHUSDT,14,3,6,0.8293888153626963
ETHUSDT,14,3,7,0.7975226290679353
ETHUSDT,14,4,1,0.9691278994435079
ETHUSDT,14,4,2,0.9398528662237088
ETHUSDT,14,4,3,0.9067252225035034
ETHUSDT,14,4,4,0.8759435462232235
ETHUSDT,14,4,5,0.846209803533178
ETHUSDT,14,4,6,0.8094667437153653
ETHUSDT,14,4,7,0.7788234142886961
ETHUSDT,14,5,1,0.9719966818914865
ETHUSDT,14,5,2,0.9443268296194006
ETHUSDT,14,5,3,0.9131590414417037
ETHUSDT,14,5,4,0.8794429949639208
ETHUSDT,14,5,5,0.8480846600992122
ETHUSDT,14,5,6,0.8138579500686052
ETHUSDT,14,5,7,0.7824798882041224
ETHUSDT,21,1,1,0.9523125443498686
ETHUSDT,21,1,2,0.9545226797558508
ETHUSDT,21,1,3,0.9340351709672977
ETHUSDT,21,1,4,0.9145116778125367
ETHUSDT,21,1,5,0.8995475594830706
ETHUSDT,21,1,6,0.8771928912377799
ETHUSDT,21,1,7,0.8579409655435607
ETHUSDT,21,2,1,0.9609554444793769
ETHUSDT,21,2,2,0.9210431586605192
ETHUSDT,21,2,3,0.8899521068862362
ETHUSDT,21,2,4,0.8496128764690895
ETHUSDT,21,2,5,0.8098715406451955
ETHUSDT,21,2,6,0.7759963015562387
ETHUSDT,21,2,7,0.7324236412945504
ETHUSDT,21,3,1,0.973988450847776
ETHUSDT,21,3,2,0.9500438414555308
ETHUSDT,21,3,3,0.9215228602482666
ETHUSDT,21,3,4,0.8919360453005968
ETHUSDT,21,3,5,0.8656029570060009
ETHUSDT,21,3,6,0.8402408290032168
ETHUSDT,21,3,7,0.812308178591046
ETHUSDT,21,4,1,0.9664811304341799
ETHUSDT,21,4,2,0.931538577362705
ETHUSDT,21,4,3,0.9032430807810123
ETHUSDT,21,4,4,0.8774037551090678
ETHUSDT,21,4,5,0.8491862955102158
ETHUSDT,21,4,6,0.8140907822725667
ETHUSDT,21,4,7,0.7908120404801943
ETHUSDT,21,5,1,0.9733520264408877
ETHUSDT,21,5,2,0.9446155282681006
ETHUSDT,21,5,3,0.9156957434777209
ETHUSDT,21,5,4,0.885343751739671
ETHUSDT,21,5,5,0.8548012658920382
ETHUSDT,21,5,6,0.8254742581590886
ETHUSDT,21,5,7,0.7931522315086726
ETHUSDT,28,1,1,0.9700542826196511
ETHUSDT,28,1,2,0.9545301275131562
ETHUSDT,28,1,3,0.9392340833210555
ETHUSDT,28,1,4,0.9213375440441122
ETHUSDT,28,1,5,0.9031094086302022
ETHUSDT,28,1,6,0.8879112759271881
ETHUSDT,28,1,7,0.8680058103660826
ETHUSDT,28,2,1,0.9581384356041439
ETHUSDT,28,2,2,0.9260046941087818
ETHUSDT,28,2,3,0.8893716129734324
ETHUSDT,28,2,4,0.8543835179900557
ETHUSDT,28,2,5,0.8053949461071621
ETHUSDT,28,2,6,0.7901710902422439
ETHUSDT,28,2,7,0.7626356564506193
ETHUSDT,28,3,1,0.9740919748345237
ETHUSDT,28,3,2,0.9505659116943295
ETHUSDT,28,3,3,0.9217345285613023
ETHUSDT,28,3,4,0.8985540757564201
ETHUSDT,28,3,5,0.877584135089961
ETHUSDT,28,3,6,0.8567035021571774
ETHUSDT,28,3,7,0.8278883438805643
ETHUSDT,28,4,1,0.9690076398399673
ETHUSDT,28,4,2,0.9420747078334778
ETHUSDT,28,4,3,0.9144415527110072
ETHUSDT,28,4,4,0.8837857941729343
ETHUSDT,28,4,5,0.8618756531095492
ETHUSDT,28,4,6,0.8348396153366028
ETHUSDT,28,4,7,0.81325610851914
ETHUSDT,28,5,1,0.9741966325556085
ETHUSDT,28,5,2,0.9472297267987292
ETHUSDT,28,5,3,0.9198810703921825
ETHUSDT,28,5,4,0.8968762317147512
ETHUSDT,28,5,5,0.8728478376321109
ETHUSDT,28,5,6,0.8484552137294016
ETHUSDT,28,5,7,0.824201140367278
BNBUSDT,7,1,1,0.9624023143350694
BNBUSDT,7,1,2,0.9211311706309595
BNBUSDT,7,1,3,0.8793254480646645
BNBUSDT,7,1,4,0.8905680383974705
BNBUSDT,7,1,5,0.8620879205244664
BNBUSDT,7,1,6,0.7948722257120673
BNBUSDT,7,1,7,0.7486222750932223
BNBUSDT,7,2,1,0.9671158439521881
BNBUSDT,7,2,2,0.9461602836006386
BNBUSDT,7,2,3,0.9202489576930759
BNBUSDT,7,2,4,0.8945681135267829
BNBUSDT,7,2,5,0.8616904274596469
BNBUSDT,7,2,6,0.8290965447184052
BNBUSDT,7,2,7,0.8016040338982544
BNBUSDT,7,3,1,0.9817973107850211
BNBUSDT,7,3,2,0.9639290675880788
BNBUSDT,7,3,3,0.9450089424233035
BNBUSDT,7,3,4,0.9235841616052889
BNBUSDT,7,3,5,0.9033849288292526
BNBUSDT,7,3,6,0.8838727322724006
BNBUSDT,7,3,7,0.8618041604177213
BNBUSDT,7,4,1,0.9831641826701506
BNBUSDT,7,4,2,0.9683714904319949
BNBUSDT,7,4,3,0.9508084308471577
BNBUSDT,7,4,4,0.9329845735766326
BNBUSDT,7,4,5,0.9125583425288762
BNBUSDT,7,4,6,0.8897061981047386
BNBUSDT,7,4,7,0.8656647218181223
BNBUSDT,7,5,1,0.9799191814512427
BNBUSDT,7,5,2,0.9582963131577164
BNBUSDT,7,5,3,0.9337665244044346
BNBUSDT,7,5,4,0.907734208865703
BNBUSDT,7,5,5,0.8827417373555921
BNBUSDT,7,5,6,0.8524931840640652
BNBUSDT,7,5,7,0.8268000292127566
BNBUSDT,14,1,1,0.9303161905462699
BNBUSDT,14,1,2,0.8545462713801335
BNBUSDT,14,1,3,0.8403976353217693
BNBUSDT,14,1,4,0.774125098949026
BNBUSDT,14,1,5,0.7155010438139705
BNBUSDT,14,1,6,0.757677349306794
BNBUSDT,14,1,7,0.6597336917894061
BNBUSDT,14,2,1,0.9707232694753399
BNBUSDT,14,2,2,0.9454193397340882
BNBUSDT,14,2,3,0.9207733356041695
BNBUSDT,14,2,4,0.8910725554424426
BNBUSDT,14,2,5,0.8655966246996276
BNBUSDT,14,2,6,0.835989971258331
BNBUSDT,14,2,7,0.8095008845727432
BNBUSDT,14,3,1,0.9817195677519107
BNBUSDT,14,3,2,0.9639041558048981
BNBUSDT,14,3,3,0.9457341720936184
BNBUSDT,14,3,4,0.926026350748189
BNBUSDT,14,3,5,0.9079708097018244
BNBUSDT,14,3,6,0.8892764493956589
BNBUSDT,14,3,7,0.8670926470797693
BNBUSDT,14,4,1,0.9813509457357165
BNBUSDT,14,4,2,0.9661126681998332
BNBUSDT,14,4,3,0.9497414406852585
BNBUSDT,14,4,4,0.931767081553375
BNBUSDT,14,4,5,0.914998821615577
BNBUSDT,14,4,6,0.891853940910371
BNBUSDT,14,4,7,0.8713861343240017
BNBUSDT,14,5,1,0.9808930922090145
BNBUSDT,14,5,2,0.959685233479487
BNBUSDT,14,5,3,0.9356009774347775
BNBUSDT,14,5,4,0.9108994248378663
BNBUSDT,14,5,5,0.8860711179107759
BNBUSDT,14,5,6,0.8559147070640014
BNBUSDT,14,5,7,0.8332208970273383
BNBUSDT,21,1,1,0.8942156175322976
BNBUSDT,21,1,2,0.8690377360540612
BNBUSDT,21,1,3,0.8329932214181378
BNBUSDT,21,1,4,0.8373101024805759
BNBUSDT,21,1,5,0.7964226091986866
BNBUSDT,21,1,6,0.7849808069485238
BNBUSDT,21,1,7,0.7318453003053562
BNBUSDT,21,2,1,0.9724833414768338
BNBUSDT,21,2,2,0.948762775602183
BNBUSDT,21,2,3,0.9207989964983287
BNBUSDT,21,2,4,0.8945128640342814
BNBUSDT,21,2,5,0.8671287924027398
BNBUSDT,21,2,6,0.8404360576520098
BNBUSDT,21,2,7,0.8074573270429015
BNBUSDT,21,3,1,0.9783332138367794
