symbol,input_window,R2_mean,R2_std
BNBUSDT,7,0.9025109720004902,0.02601068420630877
BNBUSDT,14,0.8892169684987822,0.057340358893655144
BNBUSDT,21,0.8953516003235338,0.04401673823888503
BNBUSDT,28,0.8973387974067739,0.05119958659292516
BTCUSDT,7,0.886692719842474,0.022236696328644376
BTCUSDT,14,0.8891476400051967,0.021740736805613857
BTCUSDT,21,0.8911051739332592,0.020746663014509094
BTCUSDT,28,0.8979403035313787,0.02030822832795058
ETHUSDT,7,0.8801802123428141,0.027254764100479556
ETHUSDT,14,0.8799154401419308,0.02301678302222845
ETHUSDT,21,0.8831643482579923,0.02367743208421059
ETHUSDT,28,0.8925821109309974,0.0239762913134877
SOLUSDT,7,0.906606331897281,0.016571596963030417
SOLUSDT,14,0.9062176394697341,0.013548168633932687
SOLUSDT,21,0.9036577099118211,0.011996140334001381
SOLUSDT,28,0.9057190447686805,0.014573732396510016
XRPUSDT,7,0.8953789599701123,0.03308812123474922
XRPUSDT,14,0.8921499824695769,0.03565768951728114
XRPUSDT,21,0.8919624891233646,0.04071508756951142
XRPUSDT,28,0.8965260315065386,0.04219729778618742
