symbol,input_window,fold,n_train,n_val,n_test,X_train_shape,y_train_shape,pred_test_shape,n_outputs,scaler_X_fit_rows,scaler_y_fit_rows,scalers_train_only,n_iter,loss,convergence_warning,convergence_messages,other_warnings,bds_statistic,bds_pvalue,bds_status,bds_warnings,bds_calendar_gaps,elapsed_seconds
BTCUSDT,7,1,7582,7569,7568,"(7582, 7)","(7582, 7)","(7568, 7)",7,7582,7582,True,79,0.03454701030719414,False,,,2.430507158896284,0.015077708188598937,ok,,1,6.263445800170302
BTCUSDT,7,2,15164,7568,7568,"(15164, 7)","(15164, 7)","(7568, 7)",7,15164,15164,True,42,0.04012584400503955,False,,,0.7788222742997931,0.43608441470870896,ok,,0,8.712823700159788
BTCUSDT,7,3,22745,7568,7568,"(22745, 7)","(22745, 7)","(7568, 7)",7,22745,22745,True,34,0.039027517915116605,False,,,3.2478157356550152,0.0011629455689102447,ok,,0,8.960807400057092
BTCUSDT,7,4,30326,7568,7568,"(30326, 7)","(30326, 7)","(7568, 7)",7,30326,30326,True,25,0.037458651174481196,False,,,1.309957526823009,0.19021020439083547,ok,,0,8.496566600166261
BTCUSDT,7,5,37907,7568,7568,"(37907, 7)","(37907, 7)","(7568, 7)",7,37907,37907,True,38,0.03832941612939883,False,,,0.36707408195994473,0.7135637594808428,ok,,0,12.896383700193837
BTCUSDT,14,1,7571,7551,7550,"(7571, 14)","(7571, 7)","(7550, 7)",7,7571,7571,True,98,0.03371516999209768,False,,,2.7310526056213074,0.006313239354726528,ok,,1,9.497959199827164
BTCUSDT,14,2,15142,7550,7550,"(15142, 14)","(15142, 7)","(7550, 7)",7,15142,15142,True,37,0.04055892264760773,False,,,0.8262104242179026,0.40868473596382837,ok,,0,8.171705400105566
BTCUSDT,14,3,22712,7550,7550,"(22712, 14)","(22712, 7)","(7550, 7)",7,22712,22712,True,36,0.03898949130123089,False,,,2.5347788526450037,0.011251833392256778,ok,,0,8.78992379992269
BTCUSDT,14,4,30282,7550,7550,"(30282, 14)","(30282, 7)","(7550, 7)",7,30282,30282,True,43,0.03698848858829239,False,,,1.5709562922336506,0.11619280157825217,ok,,0,10.638680700212717
BTCUSDT,14,5,37852,7550,7550,"(37852, 14)","(37852, 7)","(7550, 7)",7,37852,37852,True,38,0.038093818837937055,False,,,0.5136792869823358,0.6074762357896177,ok,,0,10.923392200144008
BTCUSDT,21,1,7560,7533,7532,"(7560, 21)","(7560, 7)","(7532, 7)",7,7560,7560,True,128,0.032469853045616566,False,,,2.3618518566729,0.018183907010928976,ok,,1,9.284692300017923
BTCUSDT,21,2,15120,7532,7532,"(15120, 21)","(15120, 7)","(7532, 7)",7,15120,15120,True,85,0.03815233413262276,False,,,0.7973613115082375,0.4252412216817304,ok,,0,11.189086799975485
BTCUSDT,21,3,22679,7532,7532,"(22679, 21)","(22679, 7)","(7532, 7)",7,22679,22679,True,117,0.03677417035030378,False,,,2.5828297648115357,0.009799366253775746,ok,,0,16.036863000132143
